Tweet,Language,,Correct(Yes) / Incorrect(No),Correct Language tag,Main Language,Embedded Language
Himalayas visible for first time in 30 years as pollution levels in India drop   ,en,,Yes,,,
"Fresh environment is necessary to live a healthy life. Burning of plastic realise many harmful gases and create pollution  To ,DSS started a initiative Bye bye Ethene with the inspiration of Saint Dr Gurmeet Ram Rahim Singh Ji Insan  ",en,,Yes,,,
Reports suggest Noise pollution to increase exponentially in India from May 6th!  ,en,,Yes,,,
"Over the past few weeks, we have witnessed a significant decrease in pollution levels across the globe. So, even after returning to our usual routine, let's continue doing our bit to sustain the environment for the generations to come.        ",en,,Yes,,,
Stubble burning is not the ONLY reason for pollution in India.      ,en,,Yes,,,
Massive dust on the roads of sector 58 Gurgaon in front of Grand Arch.  and  playing ball game with each other letting dust pollution spike.   pls help.   ,en,,Yes,,,
"To reduce , India needs to move away from coal, but btwn July 2014 &amp; April 2020, the environment ministry granted 28 clearances to 85 coal mining projects &amp; 28 power plants. We reported from the heart of India's coal country in May 2020:   ",en,,Yes,,,
Ye hai digital india jis me log bimari se nahi balki pollution se mar rahe hhh  ,hi,,Yes,,,
"Poornima: behaviour change is a challenge,   people need to understand from a  point of view   (instead of thinking in terms of flavour or tasty )       Watch indoor pollution webinar live on YT:  ",en,,Yes,,,
"   N95 mask with valves is becoming fashion nowadays. Many companies has valve without actual role &amp; it's just a piece of plastic. And in surgical mask, many are available without Melt blown filter. It's just have anti-pollution filter layer. India strongly needs to solve mask issue",en,,Yes,,,
"😱🦢Phew - a happy ending! Have , enjoy  but please remember to look after  &amp;  by taking  &amp;  home please folks.🚯🎣          ",en,,Yes,,,
 Is Fantastic project. I think it is the best project in 2021. I am happy to join this great project.             ,en,,Yes,,,
SBS Language | Himalayas visible for first time in 30 years as pollution levels in India drop   via ,en,,Yes,,,
" Sir, He didnt say India is filthy. He said India has lot of pollution and our air is filthy. We should take it in the right spirit and work towards improving quality of air in our country rather than giving a spin to Trump's statement like you have done. Sir, aap kab sudhroge?",en,,No,En-Hi,En,Hi
      please take seriously action for Deliberately ignoring such Pollution Even after several Complaints to MPCB SROII Pune office.This is clear indication of several Violations of Environmental Laws and Disobedience of Hon'ble Supreme Court &amp; NGT INDIA,en,,Yes,,,
Coal-fired power plant air pollution kills more than 4.5 million in India   ,en,,Yes,,,
     Here in India 2 wheeler vehicles contribute about 67% in Air Pollution. There is also an ever increasing demand in Urban SubUrban and rural Areas throughout India. More than 60% Indian are under 25 in age. Does  have any plans to enter 2 wheeler market in India?  ,en,,Yes,,,
Stubble burning is not the ONLY reason for pollution in India. ,en,,Yes,,,
"For thirty years, air pollution made it impossible. Thanks to the  containment in India, the village of Jalandhar, located 124 miles from the Himalayas, once again enjoys one of the most beautiful views in the world.  More on:    ©️Saravanan Rajaraman  ",en,,Yes,,,
"People in India can see the Himalayas for the first time in 'decades,' as the lockdown eases air pollution  ",en,,Yes,,,
  He called our air filthy and yes pollution is a concern in India. Nothing to fret about. We need to set it right. You are a rabble rouser  now  run along.,en,,Yes,,,
"A report on air pollutiin says that air pollution in Mumbai has increased sharply.  Where is Environment Minister  and his green penguins who delayed the Metro? More vehicles on road will save environmemt, eh?",en,,Yes,,,
Himalayas visible in parts of India for first time in 30 years after Covid-19 sees pollution fall ~ The Himalayas are visible in parts of India 125 miles away for the first time in 30 years after coronavirus saw pollution levels drop across the country  ,en,,Yes,,,
       Need for an extensive research for MND  due to rising Ganga pollution,en,,Yes,,,
" Future= Beneficiaries of subsidies &amp; direct cash reliefs, major cause of air pollution, hardly pay direct taxes, loan defaulters, land grabbers, upholders of the archaic social orders in villages. After tolerating this nonsense, India has to import metric tonnes of food grains.",en,,Yes,,,
